general.village,general/land_unit_code,land_unit/lu_size,land_unit/lu_hh_own,irri_ar_yn,crop_last25_no,wild_threat_no,crop_damage/damage_cause/resow_no,grazing_incidence/grazing_num_hh/loc_sm_num_hh,grazing_incidence/grazing_num_hh/loc_la_num_hh,grazing_incidence/grazing_num_anim/loc_sm_num_anim,grazing_incidence/grazing_num_anim/loc_la_num_anim,cp_id
501,11005,5,13,0,6,12,0,20,20,45,60,5
501,11004,6,20,0,6,12,0,10,10,30,50,5
501,11006,3,7,0,1,2,0,35,35,70,100,5
502,11007,24,18,0,16,8,0,8,8,12,16,5
503,11008,6,7,0,16,7,0,10,10,30,20,5
503,11009,6,8,0,7,7,0,20,20,30,45,5
504,11010,20,12,0,15,0,0,12,12,60,60,5
509,11023,220,172,1,17,0,0,50,50,100,300,5
509,11024,40,25,1,16,0,0,60,60,100,150,5
511,11029,30,35,0,13,0,0,30,30,90,130,5
511,11030,48,40,0,6,0,0,30,30,60,200,5
511,11031,9,10,0,15,0,0,20,20,60,80,5
511,11032,15,15,0,6,0,0,20,20,40,35,5
513,11037,36,30,1,14,4,0,20,30,40,60,5
513,11038,12,10,0,15,4,0,20,30,50,80,5
514,11039,30,32,0,16,14,0,30,30,40,150,5
514,11040,23,31,0,13,13,0,30,30,40,150,5
515,11042,12,20,0,11,2,0,23,23,40,60,5
516,11043,33,12,0,14,2,0,12,12,55,40,5
516,11044,8,2,0,5,2,0,12,12,55,40,5
514,11041,11,11,0,7,14,0,30,30,40,100,5
517,11045,22,29,0,13,1,0,45,45,160,200,5
517,11046,22,30,0,15,1,0,45,45,200,200,5
518,11047,9,9,0,15,12,0,8,8,32,50,5
518,11048,2,2,0,5,10,0,8,8,32,50,5
518,11049,2,2,0,6,10,0,8,8,32,50,5
519,11050,27,20,0,15,7,0,13,33,70,100,5
519,11051,3,8,0,2,2,0,13,33,70,100,5
520,11052,12,10,0,15,0,0,30,30,150,240,5
521,11053,40,10,0,16,7,0,15,15,30,40,5
521,11054,120,38,0,16,7,0,20,20,45,45,5
522,11055,50,25,0,14,6,0,45,45,90,140,5
522,11056,60,30,0,17,6,0,75,75,150,180,5
526,11062,64,98,0,15,1,0,100,100,2000,250,5
526,11063,64,98,0,16,1,0,100,100,150,200,5
530,11072,10,21,0,15,0,0,5,21,30,40,5
505,11011,20,27,0,1,2,0,24,24,100,150,5
505,11012,14,27,0,4,7,0,24,24,100,150,5
505,11013,4,4,0,3,6,0,24,24,45,75,5
505,11014,10,27,0,4,8,0,24,24,100,150,5
506,11015,10,11,0,7,7,0,11,11,60,60,5
508,11019,22,10,0,17,0,0,40,30,100,130,5
508,11020,16,40,1,12,0,0,70,70,1000,100,5
508,11021,14,25,1,9,0,0,30,45,65,100,5
508,11022,13,4,1,9,0,0,20,20,25,40,5
529,11070,75,120,0,20,0,0,40,40,100,1000,5
529,11071,44,70,0,19,0,0,50,50,80,100,5
530,11073,2,3,0,2,0,0,5,21,30,120,5
530,11074,1,3,0,1,0,0,5,21,30,50,5
512,11035,4,4,0,7,1,0,30,30,30,50,5
510,11026,42,100,1,11,0,0,150,150,300,450,5
512,11033,28,48,0,16,1,0,40,40,80,80,5
512,11034,6,13,0,8,1,0,30,30,60,60,5
512,11036,2,1,0,1,0,0,25,25,50,70,5
510,11025,94,150,1,1,0,0,150,150,300,360,5
510,11027,7,6,1,6,0,0,35,35,80,50,5
510,11028,8,30,0,2,0,0,35,35,75,120,5
525,11060,48,98,0,17,0,0,45,45,150,200,5
525,11061,10,8,0,9,0,0,75,75,150,180,5
527,11064,20,6,1,1,0,0,3,25,20,80,5
527,11065,24,30,0,10,0,0,3,25,20,80,5
527,11066,24,30,0,2,0,0,3,25,20,100,5
501,11001,3,5,0,1,2,0,15,15,30,30,5
501,11003,2,3,0,8,2,0,15,20,35,60,5
528,11067,14,10,0,1,0,0,50,50,70,80,5
528,11068,98,50,0,10,0,0,50,50,80,100,5
528,11069,38,30,0,9,0,0,50,50,150,150,5
506,11075,1,4,0,12,0,0,0,0,0,0,5
501,11002,2,7,0,6,2,0,10,10,20,20,5
703,11020,"3,3",11,0,1,0,0,40,40,80,50,7
703,11012,8,12,1,5,0,0,12,40,12,20,7
703,11014,12,50,1,9,0,0,50,50,150,150,7
702,11008,27,11,1,3,0,0,11,11,25,15,7
703,11013,0,0,1,11,0,0,40,40,90,80,7
703,11015,"18,6",100,1,12,0,0,50,50,150,150,7
703,11016,"6,6",9,1,7,0,0,30,30,80,60,7
703,11017,"17,3",60,1,5,0,0,60,60,150,120,7
703,11018,"14,6",70,0,1,0,0,40,40,120,90,7
703,11019,"5,3",35,1,10,0,0,30,30,60,90,7
703,11021,"9,3",13,0,6,0,0,30,30,40,30,7
703,11022,4,90,0,2,0,0,20,20,30,20,7
703,11023,2,8,1,11,0,0,10,10,40,30,7
703,11024,"2,9",14,1,3,0,0,10,10,20,10,7
703,11025,2,9,1,3,0,0,20,25,40,30,7
705,11028,"30,6",16,1,9,0,0,10,10,40,20,7
705,11029,"33,3",50,1,2,0,0,40,40,150,80,7
705,11030,37,130,1,10,0,0,60,60,150,120,7
705,11031,"1,5",10,1,6,0,0,10,10,30,20,7
705,11032,53,45,0,6,0,0,30,30,90,50,7
705,11033,39,40,1,2,0,0,50,50,150,100,7
705,11034,"26,6",80,1,9,0,0,30,30,120,60,7
706,11035,16,50,0,3,0,0,30,11,100,33,7
706,11036,7,20,1,2,0,0,40,11,90,33,7
706,11037,20,60,1,2,0,0,30,11,80,20,7
