"general/village_id","general/land_unit_code","land_unit/lu_size","manage_resp/manage_rev","manage_resp/manage_forest","manage_resp/manage_irr","manage_resp/manage_coop","manage_resp/manage_comanage","manage_resp/manage_commbased","manage_resp/manage_panch","manage_resp/manage_indv","selfcons_uses_no","sale_uses_no","use_patterns/improve_act/area_tot","grazing_incidence/grazing_number/loc_sm_num","grazing_incidence/grazing_number/loc_la_num","cp_id"
318,13001,150,0,0,0,0,0,1,0,0,6,0,15,400,200,3
201,12001,200,0,1,0,0,1,0,0,0,11,3,21,400,250,2
119,112,28,0,1,0,0,0,0,0,0,7,0,28,300,250,1
101,13001,55,0,0,0,0,0,0,1,0,6,2,0,550,400,1
102,13002,65,0,0,0,0,0,0,1,0,7,1,0,400,300,1
201,12001,200,0,0,0,0,1,0,0,0,11,3,18,400,250,2
201,12003,200,0,1,0,0,1,0,0,0,11,3,0,300,200,2
203,12006,150,0,1,0,0,1,0,0,0,11,3,6,200,150,2
203,12007,200,0,1,0,0,1,0,0,0,11,2,2,300,200,2
203,12008,300,0,1,0,0,1,0,0,0,11,4,33,300,200,2
204,12009,600,0,1,0,0,1,0,0,0,10,4,45,300,250,2
205,12009,400,0,1,0,0,1,0,0,0,11,3,11,400,200,2
205,12011,500,0,1,0,0,1,0,0,0,10,1,9,150,80,2
206,12012,200,0,1,0,0,1,0,0,0,11,1,12,700,450,2
206,12013,50,0,1,0,0,1,0,0,0,10,1,19,200,100,2
206,12014,100,0,1,0,0,1,0,0,0,11,2,5,300,250,2
206,12015,500,0,1,0,0,1,0,0,0,11,2,8,200,150,2
207,12018,400,0,1,0,0,1,0,0,0,10,2,9,150,80,2
207,12017,300,0,1,0,0,1,0,0,0,10,2,30,500,300,2
207,12016,400,0,1,0,0,1,0,0,0,10,3,25,100,80,2
210,12023,200,0,1,0,0,1,0,0,0,11,2,5,250,100,2
210,12024,200,0,1,0,0,1,0,0,0,10,1,0,200,100,2
212,12028,400,0,1,0,0,1,0,0,0,10,2,2,500,200,2
212,12029,250,0,1,0,0,1,0,0,0,10,2,2,300,200,2
212,12030,200,0,1,0,0,1,0,0,0,11,3,2,200,100,2
213,12031,400,0,1,0,0,1,0,0,0,10,1,90,300,200,2
213,12032,200,0,1,0,0,1,0,0,0,10,1,7,200,100,2
214,12033,400,0,1,0,0,1,0,0,0,10,1,21,300,150,2
214,12034,200,0,1,0,0,1,0,0,0,10,2,2,300,150,2
214,12035,300,0,1,0,0,1,0,0,0,10,2,5,300,150,2
214,12036,100,0,1,0,0,1,0,0,0,11,2,2,250,100,2
705,12012,"10,6",0,1,0,0,0,1,0,0,2,0,0,60,30,7
719,12040,400,0,1,0,0,0,1,0,0,2,0,40,90,95,7
701,12001,54,0,1,0,0,0,1,0,0,11,0,14,70,0,7
701,12002,80,0,1,0,0,0,1,0,0,11,0,0,70,40,7
716,12034,80,0,1,0,0,0,1,0,0,8,3,0,70,40,7
712,12025,67,0,1,0,0,0,1,0,0,10,1,0,120,120,7
704,12008,400,0,1,0,0,0,1,0,0,8,1,30,0,0,7
704,12009,134,0,1,0,0,0,1,0,0,7,1,10,0,0,7
704,12010,80,0,1,0,0,0,1,0,0,8,1,0,0,0,7
720,12041,134,0,1,0,0,0,1,0,0,7,0,8,30,30,7
719,12039,400,0,1,0,0,0,1,0,0,12,0,30,80,85,7
716,12032,400,0,1,0,0,0,1,0,0,5,2,30,0,0,7
716,12033,134,0,1,0,0,0,1,0,0,8,1,10,0,0,7
711,12022,67,0,1,0,0,0,1,0,0,7,0,7,600,550,7
711,12023,80,0,1,0,0,0,1,0,0,10,0,0,150,150,7
714,12027,400,0,1,0,0,0,1,0,0,7,2,30,0,0,7
714,12028,8,0,1,0,0,0,1,0,0,5,2,8,0,0,7
712,12024,80,0,1,0,0,0,1,0,0,9,0,0,120,120,7
713,12026,8,0,1,0,0,0,1,0,0,7,0,4,30,30,7
702,12003,20,0,1,0,0,0,1,0,0,5,0,20,60,30,7
702,12004,75,0,1,0,0,0,1,0,0,5,0,150,60,30,7
702,12005,50,0,1,0,0,0,1,0,0,8,1,50,60,30,7
703,12006,4,0,1,0,0,0,1,0,0,8,0,2,180,90,7
703,12007,5,0,1,0,0,0,1,0,0,7,0,"1,3",200,100,7
705,12011,"4,6",0,1,0,0,0,1,0,0,8,0,"4,6",250,100,7
706,12013,25,0,1,0,0,0,1,0,0,5,0,25,80,40,7
706,12014,20,0,1,0,0,0,1,0,0,5,0,20,300,150,7
706,12015,10,0,1,0,0,0,1,0,0,4,0,10,150,80,7
707,12016,50,0,1,0,0,0,1,0,0,9,0,10,200,120,7
708,12017,13,0,1,0,0,0,1,0,0,8,0,13,200,125,7
709,12019,75,0,1,0,0,0,1,0,0,6,0,150,150,80,7
709,12018,50,0,1,0,0,0,1,0,0,7,0,50,280,150,7
710,12021,50,0,1,0,0,0,1,0,0,8,0,20,100,50,7
715,12029,20,0,1,0,0,0,1,0,0,5,0,20,80,25,7
715,12031,35,0,1,0,0,0,1,0,0,6,0,150,100,25,7
717,12035,16,0,1,0,0,0,1,0,0,8,1,0,200,100,7
717,12036,7,0,1,0,0,0,1,0,0,5,0,22,100,50,7
717,12037,5,0,1,0,0,0,1,0,0,5,0,106,150,75,7
709,12020,20,0,1,0,0,0,1,0,0,8,0,20,250,150,7
715,12030,50,0,1,0,0,0,1,0,0,8,0,50,100,25,7
718,12038,4,0,1,0,0,0,1,0,0,4,0,2,50,30,7
604,12005,70,0,0,0,0,0,1,0,0,9,3,0,1084,715,6
604,12003,120,0,0,0,0,0,1,0,0,9,3,7,1084,715,6
605,12007,130,0,0,0,0,0,1,0,0,8,2,0,585,460,6
609,12014,320,0,0,0,0,0,1,0,0,7,2,200,346,240,6
610,12016,350,0,1,0,0,0,1,0,0,6,1,100,225,350,6
616,12022,400,0,0,0,0,0,1,0,0,6,0,0,66,270,6
602,12002,27,0,0,0,0,0,1,0,0,8,1,2,160,340,6
604,12004,70,0,0,0,0,0,1,0,0,10,3,0,1084,715,6
607,12011,200,0,0,0,0,0,1,0,0,5,0,0,440,150,6
617,12023,368,0,0,0,0,0,1,0,0,10,1,0,48,30,6
615,12021,96,0,0,0,0,0,1,0,0,6,0,0,175,250,6
103,13003,45,0,0,0,0,0,0,1,0,6,0,0,450,350,1
103,13004,50,0,0,0,0,0,0,1,0,6,0,0,450,350,1
112,13016,55,0,0,0,0,0,0,1,0,8,1,0,250,300,1
113,13017,60,0,0,0,0,0,0,1,0,7,1,0,250,450,1
116,13021,55,0,0,0,0,0,0,1,0,8,0,0,900,600,1
119,13024,50,0,0,0,0,0,0,1,0,6,1,0,450,350,1
120,13025,40,0,0,0,0,0,0,1,0,7,1,0,350,475,1
113,13018,45,0,0,0,0,0,0,1,0,7,1,0,250,450,1
