general.village;cp_id;total_hh;propotion_oc;propotion_obc;propotion_sc;propotion_st;caste_domination_idx;road_present_y/n;angw_present_y/n;elec_present_y/n;pds_present_y/n;drnkwtr_present_y/n;mblrcep_present_y/n;amenities_0-5kms_no;amenities_5-10kms_no;amenities_10onkms_no;amenities_0kms_no;propotion_landless;comland_area;frstland_area;waterlvl_total;trctors/hh;bullck/hh;srfacewtr_no;grdwtr_no;mktlocatn_no;sold_itms_totno;sold-items_no;Sold-items_in-localmkts_no_no;Sold-items_to-villagers_no;Sold-items_to-traders_no_no;hh_health-insur_propotion;hh_NREGA_propotion;hh_PDS_propotion;hh_not-suff-food-supply_propotion;hh_pvt-money-lnder_propotion;child_sex_ratio;f_entre_no;gls_primary-school_propotion;gls_middle-school_propotion;brides_<15yrs_propotion;social-ids_oc_no;social-ids_obc_no;social-ids_sc_no;social-ids_st_no;agricultural-as-prim_propotion;others-as-prim_propotion;labours-as-prim_propotion;livestock-as-prim_propotion;resource_based-others-as-prim_propotion;trade/biz-as-prim_propotion;agricultural-as-prim_income-ids_count;others-as-prim_income-ids_count;labours-as-prim_income-ids_count;livestock-as-prim_income-ids_count;resource_based-others-as-prim_income-ids_count;trade/biz-as-prim_income-ids_count;diversification_index
101;1;89.0;0.0561797752809;0.831460674157;0.112359550562;0.0;0.707107688423;1;1;1;0;1;1;0;3;2;2;0.134831460674;125;20;12;0.0786516853933;0.224719101124;0;0;4;0;13;0;0;13;0.123595505618;0.449438202247;0.842696629213;0.955056179775;0.0561797752809;1.51111111111;0;0.910256410256;0.45;0.12;1;7;1;0;0.0;0.269662921348;0.0561797752809;0.370786516854;0.0;0.303370786517;0;2;1;3;0;4;0.305390733493
102;1;150.0;0.0;1.0;0.0;0.0;1.0;1;1;1;0;1;1;0;0;5;2;0.653333333333;110;150;12;0.0533333333333;0.0333333333333;0;1;3;0;13;0;0;13;0.166666666667;0.6;0.9;0.986666666667;0.133333333333;0.733333333333;0;0.826086956522;0.0;0.166666666667;0;1;0;0;0.0;0.133333333333;0.4;0.246666666667;0.04;0.18;0;1;2;3;2;2;0.272622222222
103;1;32.0;0.4375;0.5625;0.0;0.0;0.5078125;1;0;1;0;1;1;0;3;2;2;0.28125;200;0;15;0.0;0.25;0;1;3;0;11;0;2;11;0.21875;0.46875;0.84375;0.75;0.0;0.75;0;0.666666666667;1.0;0.285714285714;4;2;0;0;0.0;0.03125;0.5625;0.375;0.0;0.03125;0;1;1;3;0;1;0.458984375
104;1;218.0;0.261467889908;0.738532110092;0.0;0.0;0.61379513509;1;1;1;1;1;1;0;4;0;3;0.100917431193;190;30;12;0.0321100917431;0.114678899083;1;3;2;0;14;2;1;14;0.275229357798;0.137614678899;0.940366972477;0.949541284404;0.0366972477064;1.16666666667;0;0.78313253012;0.53125;0.142857142857;5;11;0;0;0.0917431192661;0.165137614679;0.0963302752294;0.229357798165;0.0;0.417431192661;1;3;2;3;0;6;0.271820553825
105;1;126.0;0.00793650793651;0.761904761905;0.230158730159;0.0;0.63353489544;1;1;1;0;1;1;0;0;5;2;0.174603174603;150;180;12;0.0238095238095;0.253968253968;1;1;3;0;12;0;1;12;0.119047619048;0.650793650794;0.888888888889;0.944444444444;0.0634920634921;1.15789473684;0;1.33333333333;0.285714285714;0.0666666666667;1;4;4;0;0.0;0.0555555555556;0.0555555555556;0.674603174603;0.0;0.214285714286;0;1;1;4;0;2;0.507180650038
106;1;204.0;0.0;0.960784313725;0.0392156862745;0.0;0.924644367551;1;1;1;0;1;1;0;0;5;2;0.122549019608;138;0;12;0.122549019608;0.245098039216;1;8;3;0;13;0;1;13;0.0490196078431;0.490196078431;0.808823529412;0.941176470588;0.0294117647059;1.51612903226;0;0.878048780488;0.578947368421;0.0;0;9;1;0;0.0;0.0686274509804;0.598039215686;0.21568627451;0.0;0.117647058824;0;1;2;3;0;2;0.422722029988
107;1;75.0;0.466666666667;0.466666666667;0.0666666666667;0.0;0.44;1;1;1;0;1;1;0;5;0;2;0.133333333333;485;0;12;0.04;0.213333333333;0;1;3;0;13;0;1;13;0.0666666666667;0.24;0.8;0.96;0.0666666666667;1.4;0;0.870967741935;0.25;0.0;3;4;1;0;0.0;0.04;0.56;0.373333333333;0.0;0.0266666666667;0;1;1;3;0;1;0.455288888889
108;1;42.0;0.0714285714286;0.928571428571;0.0;0.0;0.867346938776;1;1;1;0;1;1;0;0;5;2;0.285714285714;165;55;11;0.119047619048;0.214285714286;1;0;2;0;12;0;2;12;0.047619047619;0.0;0.833333333333;0.952380952381;0.047619047619;1.27272727273;0;0.75;0.5;0.2;3;6;0;0;0.0;0.0952380952381;0.0;0.404761904762;0.0;0.5;0;1;0;3;0;2;0.422902494331
109;1;45.0;0.777777777778;0.222222222222;0.0;0.0;0.654320987654;1;1;1;0;1;1;0;0;5;2;0.244444444444;180;8;12;0.0444444444444;0.133333333333;0;4;3;0;10;0;1;10;0.244444444444;0.755555555556;0.844444444444;0.977777777778;0.111111111111;1.14285714286;0;0.8;0.666666666667;1.0;2;3;0;0;0.0;0.133333333333;0.177777777778;0.244444444444;0.0;0.444444444444;0;1;2;2;0;2;0.306666666667
110;1;141.0;0.687943262411;0.290780141844;0.0212765957447;0.0;0.558271716714;1;1;1;0;1;1;0;0;5;2;0.141843971631;160;0;12;0.248226950355;0.425531914894;0;2;2;0;11;0;4;11;0.0354609929078;1.06382978723;0.921985815603;0.943262411348;0.0283687943262;1.27272727273;0;0.923076923077;0.791666666667;0.0363636363636;2;2;1;0;0.0;0.184397163121;0.482269503546;0.248226950355;0.0;0.0851063829787;0;1;2;3;0;2;0.335445903124
