"village","villcode","panchyat","panchcode","blockname","blockcode","distname","distcode","state","statecode","cpcode"
"Bansol",701,"Gopalpur",89,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Bara Gajra",702,"Baharamuri",88,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Benagaria",703,"Baharamuri",88,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Bhutardihi",704,"Moshiara",91,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Brahma Danga",705,"Molian",90,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Chanpasol",706,"Molian",90,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Damodarpur",707,"Molian",90,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Dhajamanipur",708,"Baharamuri",88,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Dias Dihi",709,"Baharamuri",88,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Dulalpur",710,"Molian",90,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Elora",711,"Gopalpur",89,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Gopalpur",712,"Gopalpur",89,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Guniada",713,"Gopalpur",89,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Jhapandihi",714,"Moshiara",91,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Kaliahuta",715,"Baharamuri",88,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Kundurka",716,"Moshiara",91,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Nowadihi",717,"Molian",90,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Pathardihi",718,"Baharamuri",88,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Rangametia",719,"Moshiara",91,"Hirbandh",10,"Bankura",7,"West Bengal",6,7
"Sitarampur",720,"Moshiara",91,"Hirbandh",10,"Bankura",7,"West Bengal",6,7

"Cherai",601,"Cherai",77,"Chhattarpur",9,"Palamau",6,"Jharkhand",5,6
"Bardiha",602,"Cherai",77,"Chhattarpur",9,"Palamau",6,"Jharkhand",5,6
"Babhandih",603,"Cherai",77,"Chhattarpur",9,"Palamau",6,"Jharkhand",5,6
