"general/village_id","general/water_source_code","water_source/ws_size","water_source/ws_month_avlbl","selfcons_uses_no","sale_uses_no","fish_trend_species_no","lstock_drink_incidence/lstock_drink_number/loc_sm_num","lstock_drink_incidence/lstock_drink_number/loc_la_num","cp_id"
701,1001,3,12,10,1,13,50,40,7
701,1002,2,10,8,2,13,55,37,7
701,1003,1,5,9,0,12,55,0,7
711,1043,1,12,9,0,9,150,120,7
711,1044,2,8,10,1,10,80,75,7
711,1045,1,12,10,1,10,80,70,7
711,1046,1,7,10,1,5,150,200,7
711,1047,1,12,10,1,5,80,60,7
711,1048,1,5,10,1,7,120,110,7
711,1049,1,4,10,0,6,30,30,7
711,1050,2,12,10,1,17,150,100,7
711,1051,1,12,10,1,14,300,250,7
711,1052,2,12,10,1,17,150,100,7
711,1053,2,8,9,1,10,151,120,7
711,4001,1,12,10,0,7,130,120,7
319,1001,84,12,5,1,14,600,400,3
302,6009,"0,4",3,3,0,1,75,45,3
302,6010,"1,5",11,4,2,12,450,250,3
303,6011,"0,4",3,0,0,1,35,20,3
308,6031,999,8,5,0,12,90,60,3
318,6027,"0,81",7,2,0,12,60,40,3
302,6008,"1,65",11,7,1,12,175,70,3
712,1054,2,12,9,1,13,20,13,7
712,1055,1,12,9,0,11,90,100,7
712,1056,1,8,10,1,10,210,105,7
712,1057,3,12,11,1,13,300,250,7
712,1058,1,12,10,1,10,140,100,7
712,1059,2,12,9,1,10,150,100,7
713,1060,1,12,9,0,9,20,15,7
713,1061,1,9,10,0,8,30,20,7
713,1062,1,8,8,0,10,30,25,7
713,1063,1,6,8,0,2,15,5,7
713,1064,1,12,8,1,16,30,50,7
713,1065,1,12,10,0,16,40,90,7
713,1066,20,12,5,1,25,80,150,7
714,1067,1,8,7,0,20,190,325,7
714,1068,1,7,9,2,6,50,25,7
714,1069,1,6,9,0,20,45,33,7
716,1072,6,12,10,0,30,30,45,7
714,1073,1,8,7,0,13,10,10,7
714,1074,6,12,10,1,22,40,40,7
714,1075,7,11,10,1,21,30,35,7
719,1088,1,7,8,0,5,5,15,7
719,1091,1,7,10,0,2,25,17,7
716,4002,2,9,9,1,36,250,210,7
719,1086,1,9,9,1,9,15,35,7
719,1087,1,12,7,0,6,16,5,7
719,1089,1,9,10,2,8,12,12,7
719,1090,1,10,10,0,5,22,70,7
720,1092,2,12,10,0,5,40,30,7
720,1093,1,12,10,2,21,90,80,7
720,1094,1,7,9,0,7,90,85,7
720,1095,1,6,8,0,2,60,70,7
720,1096,1,8,10,1,8,40,35,7
720,1097,1,10,8,0,4,250,200,7
720,1098,2,12,9,1,8,250,230,7
205,1002,3,11,8,1,7,250,0,2
101,1017,"1,375",8,5,0,1,650,400,1
101,4016,"0,5625",3,4,0,1,360,200,1
101,4015,"0,494",3,4,0,1,400,300,1
102,1018,"0,675",6,5,0,1,250,350,1
102,1019,"0,44",3,2,0,1,200,280,1
102,4017,"2,475",8,2,0,1,280,250,1
103,1001,"1,4505",8,5,0,1,250,200,1
103,6001,"1,75",1,7,0,1,300,200,1
104,1020,"1,2",8,5,0,1,500,450,1
104,1021,"0,9",6,5,0,1,400,450,1
104,6004,"4,8575",1,9,1,1,500,600,1
104,4019,670,12,7,1,1,1800,2000,1
104,4018,"0,7",5,4,0,1,500,450,1
116,1026,"1,72",6,5,0,1,550,500,1
116,1025,"1,3",8,5,0,1,530,400,1
108,4008,"0,57",3,5,0,1,400,200,1
108,1006,"4,5",8,5,0,1,800,550,1
108,6002,"16,25",1,6,0,1,800,500,1
113,4020,"0,3375",4,5,0,1,250,450,1
113,1023,"0,6",6,3,0,1,250,350,1
113,1022,"0,135",4,5,0,1,250,400,1
111,4012,"0,9",8,4,0,1,400,500,1
111,1010,"0,975",8,3,0,1,500,200,1
111,1011,"1,08",10,5,0,1,800,450,1
111,6003,"7,945",1,7,0,1,500,300,1
111,4013,"0,528",6,4,0,1,700,300,1
118,1028,"0,84",8,5,0,1,350,200,1
118,1029,"0,425",6,5,0,1,350,200,1
118,4025,"0,245",3,5,0,1,320,240,1
120,1025,"1,96",8,6,0,1,250,300,1
120,1016,"2,25",8,6,0,1,400,500,1
117,4023,"0,23",3,4,0,1,350,250,1
117,1027,"1,62",12,5,0,1,300,280,1
117,4024,"0,19",3,5,0,1,350,250,1
119,4026,"0,345",4,4,0,1,200,150,1
119,4027,"0,45",4,5,0,1,650,400,1
119,1030,"1,14",8,7,0,1,250,300,1
119,1031,"1,4",8,7,0,1,500,320,1
112,1012,"1,16",8,6,0,1,350,400,1
112,1014,"1,32",10,5,0,1,200,250,1
106,1004,"1,28",6,5,0,1,550,350,1
106,1003,"3,25",12,3,0,1,560,240,1
106,4003,"0,7875",3,4,0,1,500,250,1
106,4002,"0,825",3,4,0,1,450,230,1
106,4004,"0,744",3,4,0,1,300,200,1
106,4005,"0,44",4,4,0,1,410,330,1
107,4007,"0,2875",4,4,0,1,380,350,1
107,4006,"0,42",4,5,0,1,420,350,1
107,1005,"1,65",8,5,0,1,400,350,1
109,1007,"2,6",8,6,0,1,550,450,1
109,4009,"1,01",8,6,0,1,550,450,1
109,4010,"0,525",5,6,0,1,450,300,1
105,4001,"2,4",8,4,0,1,950,650,1
105,1002,"1,6",8,5,0,1,800,1000,1
105,4011,"0,375",4,5,0,1,350,450,1
110,1009,"1,1",8,5,0,1,850,350,1
110,1008,"1,35",8,4,0,1,750,350,1
112,4014,"0,455",4,5,0,1,400,230,1
112,1013,"1,15",8,5,0,1,500,350,1
717,1077,"0,5",9,6,0,4,240,120,7
717,1078,"2,9",8,7,0,8,250,150,7
717,1079,"0,3",6,7,0,8,300,120,7
717,1080,2,12,8,1,17,400,200,7
718,1081,"6,8",12,8,1,17,900,450,7
718,1082,"1,3",12,8,1,11,750,300,7
718,1083,"1,3",12,6,1,11,500,200,7
718,1084,"0,8",10,7,0,12,250,150,7
718,1085,"0,4",7,3,0,1,720,240,7
702,1004,"3,4",8,10,0,23,150,84,7
702,1005,"1,3",10,10,1,21,50,45,7
703,1006,"5,4",12,10,1,22,620,365,7
703,1007,8,8,10,1,26,400,150,7
703,1008,"0,9",8,10,1,26,500,300,7
703,1009,"0,8",6,10,1,26,375,150,7
703,1010,"0,4",7,4,0,5,520,240,7
703,1011,"0,4",8,3,0,6,500,300,7
705,1012,"0,6",8,6,0,6,180,90,7
705,1013,"0,8",8,7,1,8,300,150,7
705,1014,1,8,7,1,14,600,450,7
705,1015,"4,4",12,8,0,11,180,90,7
705,1016,"0,6",5,6,0,8,300,150,7
705,1017,"0,6",6,8,1,10,250,150,7
705,1018,1,7,7,1,11,250,150,7
706,1019,3,9,7,1,12,500,300,7
706,1020,"1,5",12,6,0,15,350,1600,7
706,1021,1,12,6,1,16,400,200,7
706,1022,2,7,7,1,16,500,300,7
706,1023,"1,3",7,6,1,15,500,300,7
706,1024,1,5,4,0,1,654,33,7
706,1025,4,12,6,1,18,500,300,7
707,1026,"3,3",12,6,1,13,70,42,7
707,1027,2,12,8,0,11,50,20,7
707,1028,2,12,9,0,11,240,200,7
708,1029,"1,8",6,10,1,17,550,350,7
708,1030,"5,3",12,8,1,15,750,450,7
708,1031,"0,9",12,9,1,15,750,450,7
708,1032,1,8,8,0,21,120,72,7
709,1039,"0,5",7,5,0,5,120,180,7
710,1041,"0,4",6,7,0,8,145,87,7
710,1042,"0,5",8,7,0,14,145,87,7
715,1070,"0,4",7,10,1,21,126,48,7
715,1071,"1,2",12,9,1,21,126,48,7
717,1076,"0,4",6,3,0,1,360,180,7
709,1034,"0,5",8,7,0,10,345,207,7
709,1035,"0,3",7,7,0,10,345,207,7
709,1036,"0,17",7,7,0,9,345,205,7
709,1037,"0,22",7,6,0,10,345,205,7
709,1038,"0,17",7,4,0,10,345,205,7
710,1040,"4,4",12,8,1,16,420,210,7
709,1033,999,12,8,0,25,345,207,7
610,1125,"1,2",12,6,0,7,550,1050,6
201,1001,"1,211",9,5,0,7,300,80,2
201,1002,"1,2",8,4,0,7,100,40,2
206,1007,"1,779",11,7,1,3,40,20,2
206,1008,"1,092",10,6,1,7,100,50,2
203,1003,"1,5",10,7,0,7,200,80,2
203,1004,"1,215",7,7,0,7,300,60,2
205,1005,"15,77",12,8,1,8,250,150,2
205,1006,14,11,8,1,7,250,150,2
301,6002,"0,2",7,4,0,12,45,30,3
301,6004,"0,44",10,5,0,12,75,60,3
301,6005,"0,18",8,5,0,12,30,20,3
301,6006,"0,5",10,3,0,12,30,20,3
307,6013,"0,36",0,3,0,12,75,50,3
307,6014,72,10,3,0,12,90,60,3
307,6015,"0,88",9,3,0,12,90,70,3
307,6016,"0,9",6,3,0,12,100,70,3
307,6017,"0,35",9,3,0,12,100,80,3
512,6008,160000,12,9,1,5,60,60,5
509,1008,"0,03",12,3,1,7,45,70,5
509,1009,"0,03",12,3,1,7,30,60,5
509,1007,"0,03",12,3,1,7,25,40,5
509,1010,"0,03",12,3,1,7,30,50,5
509,1011,"0,03",12,3,1,7,35,50,5
509,1012,"0,03",12,4,1,7,25,30,5
509,1013,"0,03",12,3,1,7,30,30,5
511,6007,6,12,9,1,6,50,50,5
510,1015,1,12,5,1,10,40,40,5
514,1016,"0,04",5,3,0,2,40,40,5
510,1014,4,12,5,1,14,40,40,5
516,1017,"0,046",12,5,1,7,55,40,5
516,1018,"0,046",12,5,1,7,55,40,5
519,1020,"0,05",12,4,1,12,70,100,5
509,6003,5,12,7,1,3,40,40,5
508,1003,"0,012",12,3,1,7,20,40,5
508,1004,"0,012",12,3,1,7,30,50,5
508,1005,"0,012",12,3,1,7,25,25,5
508,6001,3,12,9,1,4,40,60,5
508,6002,3,12,9,1,4,50,75,5
528,6011,"7,5",12,7,1,5,80,80,5
508,1006,"0,2",12,3,1,7,40,60,5
527,1023,"0,016",12,7,1,2,20,100,5
529,6012,"7,5",12,8,1,5,100,100,5
510,6005,"0,1",10,6,1,10,50,50,5
528,1024,"0,12",10,7,1,8,50,50,5
526,1022,"0,069",10,5,1,2,60,60,5
517,1019,"0,0225",10,5,0,2,60,80,5
525,1021,"0,04",10,6,1,3,40,40,5
505,1002,10,12,9,1,13,100,150,5
513,6009,6,12,9,1,5,80,100,5
501,1001,1,12,8,1,13,140,200,5
525,6010,"4,5",12,7,1,8,150,200,5
510,6004,"0,1",10,6,1,10,40,40,5
511,6006,5,12,9,1,8,100,100,5
706,6002,9000,8,8,0,9,40,20,7
708,6003,4500,12,6,0,14,50,10,7
708,6004,4500,12,9,0,14,20,8,7
710,6005,4500,12,7,0,12,40,20,7
710,6006,7200,12,7,0,12,40,25,7
703,6015,1880,8,9,1,12,100,60,7
702,7001,19000,12,5,0,9,10,15,7
706,7002,6,8,1,0,1,0,0,7
708,7003,9500,12,4,0,9,0,0,7
709,7004,999,12,6,0,9,50,30,7
715,7006,19000,12,1,0,1,0,0,7
718,7007,9500,12,5,1,11,30,15,7
711,4001,10,12,9,1,17,200,35,7
704,4003,47,12,8,1,46,200,120,7
716,4005,34,12,9,1,46,350,250,7
711,6007,3000,3,9,0,8,75,62,7
720,6013,7805,4,10,0,47,60,110,7
713,6009,999,3,9,0,5,120,110,7
711,7005,1270,2,6,0,1,20,15,7
704,4006,47,12,11,1,44,60,110,7
701,6001,50,7,10,1,11,70,50,7
713,6008,999,12,10,0,13,500,230,7
720,1100,1,5,8,0,2,20,7,7
720,1099,1,6,4,0,6,120,90,7
201,6001,2000,4,7,1,7,150,80,2
217,6018,10000,4,8,1,7,150,60,2
213,6017,5000,4,8,1,7,90,40,2
212,6016,40000,6,9,1,7,100,70,2
211,6015,20000,4,8,1,7,150,90,2
208,4003,"0,18",6,7,1,7,50,30,2
208,4002,"0,25",6,8,1,7,100,50,2
208,4001,"0,21",6,9,1,7,80,0,2
604,6001,7,2,9,0,2,197,150,6
214,0,"0,2",6,6,0,6,150,80,2
207,1009,"1,81",11,7,1,7,300,150,2
115,4022,"5,06",8,5,0,1,400,300,1
207,1010,"0,231",12,6,2,7,300,250,2
115,4021,"0,42",8,5,0,1,350,200,1
207,1011,"0,5",8,4,0,7,250,100,2
620,6006,4,2,11,0,3,108,74,6
207,1012,"0,25",10,6,4,10,300,100,2
115,1024,"1,58",8,4,0,1,350,250,1
619,7003,2,3,7,0,4,127,125,6
115,6006,"18,28",1,5,0,1,400,350,1
614,6007,7,3,8,1,3,185,165,6
613,6003,8,3,8,0,3,550,285,6
207,1013,"0,47",10,6,0,6,250,150,2
607,6004,2,2,8,0,3,118,95,6
207,1014,"0,45",11,6,1,7,200,150,2
607,6005,6,2,8,0,3,118,95,6
207,1015,1,5,5,0,6,150,80,2
208,1016,"0,46",12,9,2,7,400,250,2
605,6002,35,2,7,0,3,125,120,6
208,1017,"0,67",10,6,2,9,150,80,2
211,1018,"0,77",11,8,2,7,200,150,2
211,1019,"0,98",10,7,1,7,200,150,2
211,1020,"2,22",8,6,0,7,300,200,2
211,1021,1,6,4,0,6,150,80,2
211,1022,"1,83",9,6,1,7,250,150,2
211,1023,"1,84",11,8,2,7,250,150,2
211,1024,"1,28",8,6,1,7,150,80,2
211,1025,"0,52",6,5,0,7,100,60,2
211,1026,"0,42",8,6,1,7,200,150,2
211,1027,"0,11",9,10,2,7,200,100,2
211,1028,"0,86",11,10,2,7,250,150,2
211,1029,"0,49",10,8,1,6,200,150,2
211,1030,1,11,10,2,6,150,100,2
211,1031,"0,3",11,7,2,11,100,50,2
211,1032,"0,67",9,8,1,7,200,150,2
211,1033,"0,42",10,10,2,7,300,150,2
214,1034,2,10,8,1,7,300,150,2
203,6002,4000,4,6,1,7,100,70,2
204,6004,2000,4,9,1,6,150,100,2
203,6003,10000,4,6,1,7,100,70,2
204,6005,8000,4,6,1,6,100,50,2
215,1037,"0,25",9,6,1,7,200,100,2
205,6006,26000,4,6,1,7,100,50,2
301,6001,"0,24",6,6,0,12,75,45,3
301,6003,"0,8",4,3,0,12,110,70,3
301,6007,"0,24",6,6,0,12,80,60,3
303,6012,"0,63",8,4,0,12,40,20,3
220,1043,"0,16",5,7,1,7,200,100,2
215,1036,"0,5",12,6,0,10,350,200,2
307,6018,"0,12",5,5,0,12,90,50,3
205,6007,28000,4,8,0,7,100,60,2
